Initialization time,0.0974419

Iteration;Time since initialization (s);Iteration time (s)
658;79.424;0.114071
659;79.5394;0.115303
660;79.6543;0.114856
661;79.7742;0.119919
662;79.8903;0.116101
663;80.003;0.112608
664;80.1189;0.11588
665;80.2337;0.114743
666;80.4535;0.219727
667;80.5788;0.125348
668;80.6941;0.11524
669;80.8134;0.11926
670;80.9254;0.111926
671;81.0417;0.11632
672;81.1551;0.113368
673;81.2705;0.115329
674;81.3859;0.115346
675;81.5017;0.115747
676;81.6165;0.114778
677;81.7323;0.115784
678;81.8617;0.129416
679;81.9742;0.112463
680;82.0885;0.114254
681;82.2005;0.111904
682;82.3146;0.114097
683;82.4296;0.114987
684;82.5537;0.124078
685;82.6735;0.119801
686;82.7981;0.124526
687;82.9238;0.125707
688;83.04;0.116204
689;83.1557;0.115625
690;83.2707;0.115038
691;83.3827;0.111937
692;83.4978;0.115015
693;83.6109;0.113022
694;83.7265;0.115619
695;83.8465;0.120012
696;83.9602;0.113676
697;84.0744;0.114076
698;84.188;0.113649
699;84.3031;0.115047
700;84.4157;0.112474
701;84.53;0.114355
702;84.6449;0.114845
703;84.7651;0.120164
704;84.8908;0.125685
705;85.0138;0.122993
706;85.13;0.116159
707;85.2461;0.116092
708;85.3615;0.115408
709;85.474;0.112393
